machine_id,time_seconds,motion_score,threshold_used,label,filename
m1,1.0,6.84,6.0,SKIPPED,
m2,1.0,4.37,4.0,SKIPPED,
m1,2.0,8.20,6.0,RUNNING,m1_RUNNING_1786364362088_50.jpg
m2,2.0,5.31,4.0,RUNNING,m2_RUNNING_1786364362088_50.jpg
m1,3.0,4.39,6.0,STOPPED,m1_STOPPED_1786364362124_75.jpg
m2,3.0,2.77,4.0,STOPPED,m2_STOPPED_1786364362124_75.jpg
m1,4.0,5.16,6.0,SKIPPED,
m2,4.0,3.54,4.0,SKIPPED,
m1,5.0,3.54,6.0,STOPPED,m1_STOPPED_1786364362188_125.jpg
m2,5.0,1.91,4.0,STOPPED,m2_STOPPED_1786364362188_125.jpg
m1,6.0,6.62,6.0,SKIPPED,
m2,6.0,3.18,4.0,SKIPPED,
m1,7.0,8.01,6.0,RUNNING,m1_RUNNING_1786364362252_175.jpg
m2,7.0,3.42,4.0,SKIPPED,
m1,8.0,8.34,6.0,RUNNING,m1_RUNNING_1786364362284_200.jpg
m2,8.0,4.17,4.0,SKIPPED,
m1,9.0,5.36,6.0,SKIPPED,
m2,9.0,2.62,4.0,STOPPED,m2_STOPPED_1786364362316_225.jpg
m1,10.0,8.70,6.0,RUNNING,m1_RUNNING_1786364362350_250.jpg
m2,10.0,5.00,4.0,RUNNING,m2_RUNNING_1786364362350_250.jpg
m1,11.0,8.45,6.0,RUNNING,m1_RUNNING_1786364362382_275.jpg
m2,11.0,4.61,4.0,SKIPPED,
m1,12.0,10.42,6.0,RUNNING,m1_RUNNING_1786364362411_300.jpg
m2,12.0,4.58,4.0,SKIPPED,
m1,13.0,7.85,6.0,RUNNING,m1_RUNNING_1786364362443_325.jpg
m2,13.0,4.06,4.0,SKIPPED,
m1,14.0,7.77,6.0,RUNNING,m1_RUNNING_1786364362474_350.jpg
m2,14.0,4.59,4.0,SKIPPED,
m1,15.0,8.23,6.0,RUNNING,m1_RUNNING_1786364362516_375.jpg
m2,15.0,5.65,4.0,RUNNING,m2_RUNNING_1786364362518_375.jpg
m1,16.0,9.15,6.0,RUNNING,m1_RUNNING_1786364362538_400.jpg
m2,16.0,6.09,4.0,RUNNING,m2_RUNNING_1786364362538_400.jpg
m1,17.0,7.27,6.0,RUNNING,m1_RUNNING_1786364362586_425.jpg
m2,17.0,4.68,4.0,SKIPPED,
m1,18.0,7.22,6.0,RUNNING,m1_RUNNING_1786364362617_450.jpg
m2,18.0,4.33,4.0,SKIPPED,
m1,19.0,10.02,6.0,RUNNING,m1_RUNNING_1786364362649_475.jpg
m2,19.0,4.59,4.0,SKIPPED,
m1,20.0,12.51,6.0,RUNNING,m1_RUNNING_1786364362689_500.jpg
m2,20.0,7.44,4.0,RUNNING,m2_RUNNING_1786364362689_500.jpg
m1,21.0,9.99,6.0,RUNNING,m1_RUNNING_1786364362713_525.jpg
m2,21.0,7.27,4.0,RUNNING,m2_RUNNING_1786364362729_525.jpg
m1,22.0,11.02,6.0,RUNNING,m1_RUNNING_1786364362765_550.jpg
m2,22.0,7.45,4.0,RUNNING,m2_RUNNING_1786364362767_550.jpg
m1,23.0,7.36,6.0,RUNNING,m1_RUNNING_1786364362798_575.jpg
m2,23.0,4.68,4.0,SKIPPED,
m1,24.0,7.75,6.0,RUNNING,m1_RUNNING_1786364362829_600.jpg
m2,24.0,4.84,4.0,SKIPPED,
m1,25.0,6.01,6.0,SKIPPED,
m2,25.0,3.95,4.0,SKIPPED,
m1,26.0,7.21,6.0,RUNNING,m1_RUNNING_1786364362893_650.jpg
m2,26.0,4.62,4.0,SKIPPED,
m1,27.0,6.62,6.0,SKIPPED,
m2,27.0,4.00,4.0,SKIPPED,
m1,28.0,10.87,6.0,RUNNING,m1_RUNNING_1786364362957_700.jpg
m2,28.0,7.65,4.0,RUNNING,m2_RUNNING_1786364362957_700.jpg
m1,29.0,10.50,6.0,RUNNING,m1_RUNNING_1786364363004_725.jpg
m2,29.0,7.42,4.0,RUNNING,m2_RUNNING_1786364363004_725.jpg
m1,30.0,8.07,6.0,RUNNING,m1_RUNNING_1786364363043_750.jpg
m2,30.0,5.25,4.0,RUNNING,m2_RUNNING_1786364363044_750.jpg
m1,31.0,7.34,6.0,RUNNING,m1_RUNNING_1786364363065_775.jpg
m2,31.0,4.61,4.0,SKIPPED,
m1,32.0,7.80,6.0,RUNNING,m1_RUNNING_1786364363122_800.jpg
m2,32.0,5.16,4.0,RUNNING,m2_RUNNING_1786364363122_800.jpg
m1,33.0,9.86,6.0,RUNNING,m1_RUNNING_1786364363144_825.jpg
m2,33.0,7.73,4.0,RUNNING,m2_RUNNING_1786364363160_825.jpg
m1,34.0,9.90,6.0,RUNNING,m1_RUNNING_1786364363192_850.jpg
m2,34.0,7.60,4.0,RUNNING,m2_RUNNING_1786364363192_850.jpg
m1,35.0,9.80,6.0,RUNNING,m1_RUNNING_1786364363224_875.jpg
m2,35.0,6.86,4.0,RUNNING,m2_RUNNING_1786364363224_875.jpg
m1,36.0,7.39,6.0,RUNNING,m1_RUNNING_1786364363256_900.jpg
m2,36.0,5.56,4.0,RUNNING,m2_RUNNING_1786364363256_900.jpg
m1,37.0,7.79,6.0,RUNNING,m1_RUNNING_1786364363299_925.jpg
m2,37.0,4.70,4.0,SKIPPED,
m1,38.0,11.67,6.0,RUNNING,m1_RUNNING_1786364363319_950.jpg
m2,38.0,8.38,4.0,RUNNING,m2_RUNNING_1786364363319_950.jpg
m1,39.0,10.16,6.0,RUNNING,m1_RUNNING_1786364363351_975.jpg
m2,39.0,8.00,4.0,RUNNING,m2_RUNNING_1786364363351_975.jpg
m1,40.0,10.50,6.0,RUNNING,m1_RUNNING_1786364363398_1000.jpg
m2,40.0,7.55,4.0,RUNNING,m2_RUNNING_1786364363403_1000.jpg
m1,41.0,9.16,6.0,RUNNING,m1_RUNNING_1786364363430_1025.jpg
m2,41.0,7.70,4.0,RUNNING,m2_RUNNING_1786364363430_1025.jpg
m1,42.0,9.82,6.0,RUNNING,m1_RUNNING_1786364363462_1050.jpg
m2,42.0,7.79,4.0,RUNNING,m2_RUNNING_1786364363462_1050.jpg
m1,43.0,10.19,6.0,RUNNING,m1_RUNNING_1786364363510_1075.jpg
m2,43.0,7.63,4.0,RUNNING,m2_RUNNING_1786364363510_1075.jpg
m1,44.0,8.94,6.0,RUNNING,m1_RUNNING_1786364363542_1100.jpg
m2,44.0,5.71,4.0,RUNNING,m2_RUNNING_1786364363542_1100.jpg
m1,45.0,7.61,6.0,RUNNING,m1_RUNNING_1786364363590_1125.jpg
m2,45.0,4.88,4.0,SKIPPED,
m1,46.0,7.91,6.0,RUNNING,m1_RUNNING_1786364363621_1150.jpg
m2,46.0,5.23,4.0,RUNNING,m2_RUNNING_1786364363621_1150.jpg
m1,47.0,7.41,6.0,RUNNING,m1_RUNNING_1786364363653_1175.jpg
m2,47.0,4.24,4.0,SKIPPED,
m1,48.0,6.34,6.0,SKIPPED,
m2,48.0,4.41,4.0,SKIPPED,
m1,49.0,7.96,6.0,RUNNING,m1_RUNNING_1786364363748_1225.jpg
m2,49.0,5.63,4.0,RUNNING,m2_RUNNING_1786364363748_1225.jpg
m1,50.0,8.06,6.0,RUNNING,m1_RUNNING_1786364363795_1250.jpg
m2,50.0,5.86,4.0,RUNNING,m2_RUNNING_1786364363797_1250.jpg
m1,51.0,6.07,6.0,SKIPPED,
m2,51.0,3.84,4.0,SKIPPED,
m1,52.0,9.91,6.0,RUNNING,m1_RUNNING_1786364363899_1300.jpg
m2,52.0,6.07,4.0,RUNNING,m2_RUNNING_1786364363900_1300.jpg
m1,53.0,8.84,6.0,RUNNING,m1_RUNNING_1786364363945_1325.jpg
m2,53.0,5.74,4.0,RUNNING,m2_RUNNING_1786364363949_1325.jpg
m1,54.0,7.61,6.0,RUNNING,m1_RUNNING_1786364363998_1350.jpg
m2,54.0,4.81,4.0,SKIPPED,
m1,55.0,4.61,6.0,STOPPED,m1_STOPPED_1786364364041_1375.jpg
m2,55.0,3.18,4.0,SKIPPED,
m1,56.0,6.39,6.0,SKIPPED,
m2,56.0,4.30,4.0,SKIPPED,
m1,57.0,5.34,6.0,SKIPPED,
m2,57.0,3.55,4.0,SKIPPED,
m1,58.0,6.19,6.0,SKIPPED,
m2,58.0,4.19,4.0,SKIPPED,
m1,59.0,6.25,6.0,SKIPPED,
m2,59.0,3.84,4.0,SKIPPED,
m1,60.0,6.64,6.0,SKIPPED,
m2,60.0,4.50,4.0,SKIPPED,
m1,61.0,5.62,6.0,SKIPPED,
m2,61.0,3.82,4.0,SKIPPED,
m1,62.0,10.81,6.0,RUNNING,m1_RUNNING_1786364364295_1550.jpg
m2,62.0,7.63,4.0,RUNNING,m2_RUNNING_1786364364295_1550.jpg
m1,63.0,8.84,6.0,RUNNING,m1_RUNNING_1786364364327_1575.jpg
m2,63.0,6.76,4.0,RUNNING,m2_RUNNING_1786364364327_1575.jpg
m1,64.0,10.20,6.0,RUNNING,m1_RUNNING_1786364364358_1600.jpg
m2,64.0,7.29,4.0,RUNNING,m2_RUNNING_1786364364358_1600.jpg
m1,65.0,9.34,6.0,RUNNING,m1_RUNNING_1786364364391_1625.jpg
m2,65.0,6.79,4.0,RUNNING,m2_RUNNING_1786364364391_1625.jpg
m1,66.0,9.02,6.0,RUNNING,m1_RUNNING_1786364364438_1650.jpg
m2,66.0,5.88,4.0,RUNNING,m2_RUNNING_1786364364438_1650.jpg
m1,67.0,9.86,6.0,RUNNING,m1_RUNNING_1786364364469_1675.jpg
m2,67.0,6.32,4.0,RUNNING,m2_RUNNING_1786364364469_1675.jpg
m1,68.0,10.35,6.0,RUNNING,m1_RUNNING_1786364364511_1700.jpg
m2,68.0,6.80,4.0,RUNNING,m2_RUNNING_1786364364513_1700.jpg
m1,69.0,8.78,6.0,RUNNING,m1_RUNNING_1786364364552_1725.jpg
m2,69.0,5.26,4.0,RUNNING,m2_RUNNING_1786364364553_1725.jpg
