epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,163.669,0.16915,0.99857,1,0.00494,0.000554074,0.000554074,0.000554074
2,305.517,0.02476,0.99857,1,0.00558,0.00105481,0.00105481,0.00105481
3,447.108,0.02185,1,1,0.00133,0.00150053,0.00150053,0.00150053
4,584.678,0.02048,1,1,1e-05,0.00141945,0.00141945,0.00141945
5,730.791,0.01725,1,1,0.00252,0.00133693,0.00133693,0.00133693
6,876.548,0.00645,1,1,0.00026,0.00125442,0.00125442,0.00125442
7,1016.57,0.00673,0.99713,1,0.0112,0.0011719,0.0011719,0.0011719
8,1170.3,0.00502,1,1,0.00656,0.00108938,0.00108938,0.00108938
9,1315.3,0.00552,1,1,6e-05,0.00100687,0.00100687,0.00100687
10,1464.31,0.00365,1,1,5e-05,0.000924352,0.000924352,0.000924352
11,1610.65,0.00497,1,1,5e-05,0.000841835,0.000841835,0.000841835
12,1755.79,0.00228,1,1,8e-05,0.000759318,0.000759318,0.000759318
13,1898.42,0.00081,1,1,0.0001,0.000676802,0.000676802,0.000676802
14,2045.89,0.00225,1,1,4e-05,0.000594286,0.000594286,0.000594286
15,2192.67,0.00219,1,1,1e-05,0.000511769,0.000511769,0.000511769
16,2329.66,0.00074,1,1,1e-05,0.000429253,0.000429253,0.000429253
17,2482.96,0.00067,1,1,0,0.000346736,0.000346736,0.000346736
18,2623.01,0.00044,1,1,0,0.00026422,0.00026422,0.00026422
19,2757.86,0.00037,1,1,0,0.000181703,0.000181703,0.000181703
20,2891.82,0.00081,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
